time,symbol,score,signal,position,action,close_price
2025-10-13 12:00:00,ETH,96.2,多,long,hold,4142.16
2025-10-13 12:00:00,SOL,78.8,多,flat,reduce_long,196.2
2025-10-13 16:00:00,BTC,98.0,多,long,open_long,115254.23
2025-10-13 16:00:00,ETH,94.7,多,flat,reduce_long,4175.36
2025-10-13 16:00:00,SOL,83.8,多,long,open_long,198.25
2025-10-13 20:00:00,BTC,76.9,多,flat,reduce_long,114412.26
2025-10-13 20:00:00,ETH,89.9,多,long,open_long,4097.12
2025-10-13 20:00:00,SOL,64.9,多,flat,reduce_long,191.84
2025-10-14 00:00:00,BTC,55.0,多,long,open_long,114669.24
2025-10-14 00:00:00,ETH,68.1,多,flat,reduce_long,4165.01
2025-10-14 00:00:00,SOL,99.0,多,long,open_long,200.04
2025-10-14 04:00:00,BTC,90.5,多,long,hold,115713.37
2025-10-14 04:00:00,ETH,89.6,多,long,open_long,4286.21
2025-10-14 04:00:00,SOL,100.0,多,long,hold,208.55
2025-10-14 08:00:00,BTC,27.4,空,flat,reduce_long,114959.03
2025-10-14 08:00:00,ETH,40.5,空,flat,reduce_long,4242.11
2025-10-14 08:00:00,SOL,99.7,多,flat,reduce_long,209.31
2025-10-14 12:00:00,BTC,7.7,空,short,open_short,113062.09
2025-10-14 12:00:00,ETH,5.7,空,short,open_short,4100.09
2025-10-14 12:00:00,SOL,49.3,中性,flat,hold,202.07
2025-10-14 16:00:00,BTC,11.1,空,flat,reduce_short,111803.33
2025-10-14 16:00:00,ETH,3.3,空,short,hold,3996.3
2025-10-14 16:00:00,SOL,13.6,空,short,open_short,196.15
2025-10-14 20:00:00,BTC,5.1,空,short,open_short,110803.28
2025-10-14 20:00:00,ETH,3.9,空,flat,reduce_short,3941.1
2025-10-14 20:00:00,SOL,32.9,空,flat,reduce_short,193.34
2025-10-15 00:00:00,BTC,81.9,多,flat,reduce_short,112328.83
2025-10-15 00:00:00,ETH,85.8,多,long,open_long,4096.23
2025-10-15 00:00:00,SOL,92.1,多,long,open_long,202.53
2025-10-15 04:00:00,BTC,29.1,空,short,open_short,112992.87
2025-10-15 04:00:00,ETH,23.6,空,flat,reduce_long,4118.0
2025-10-15 04:00:00,SOL,10.8,空,flat,reduce_long,200.6
2025-10-15 08:00:00,BTC,22.1,空,short,hold,112993.86
2025-10-15 08:00:00,ETH,30.6,空,short,open_short,4119.49
2025-10-15 08:00:00,SOL,40.1,空,short,open_short,203.98
2025-10-15 12:00:00,BTC,50.8,中性,flat,reduce_short,112344.81
2025-10-15 12:00:00,ETH,85.1,多,flat,reduce_short,4116.04
2025-10-15 12:00:00,SOL,61.7,多,flat,reduce_short,203.46
2025-10-15 16:00:00,BTC,96.0,多,long,open_long,112944.85
2025-10-15 16:00:00,ETH,100.0,多,long,open_long,4181.79
2025-10-15 16:00:00,SOL,99.7,多,long,open_long,206.14
2025-10-15 20:00:00,BTC,10.8,空,flat,reduce_long,111711.25
2025-10-15 20:00:00,ETH,58.6,多,flat,reduce_long,4094.8
2025-10-15 20:00:00,SOL,84.3,多,flat,reduce_long,203.06
2025-10-16 00:00:00,BTC,12.1,空,short,open_short,110748.0
2025-10-16 00:00:00,ETH,6.1,空,short,open_short,3976.07
2025-10-16 00:00:00,SOL,9.0,空,short,open_short,197.38
2025-10-16 04:00:00,BTC,23.8,空,flat,reduce_short,111109.76
2025-10-16 04:00:00,ETH,5.9,空,short,hold,3961.52
2025-10-16 04:00:00,SOL,5.7,空,short,hold,194.2
2025-10-16 08:00:00,BTC,15.1,空,short,open_short,110431.27
2025-10-16 08:00:00,ETH,14.6,空,flat,reduce_short,3981.89
2025-10-16 08:00:00,SOL,21.6,空,flat,reduce_short,193.92
2025-10-16 12:00:00,BTC,30.1,空,flat,reduce_short,110966.03
2025-10-16 12:00:00,ETH,17.0,空,short,open_short,3999.01
2025-10-16 12:00:00,SOL,5.3,空,short,open_short,192.45
2025-10-16 16:00:00,BTC,19.4,空,short,open_short,110817.5
2025-10-16 16:00:00,ETH,8.9,空,short,hold,3994.77
2025-10-16 16:00:00,SOL,18.5,空,flat,reduce_short,192.45
2025-10-16 20:00:00,BTC,79.0,多,flat,reduce_short,111519.07
2025-10-16 20:00:00,ETH,60.3,多,flat,reduce_short,4054.63
2025-10-16 20:00:00,SOL,43.7,空,short,open_short,197.02
2025-10-17 00:00:00,BTC,12.6,空,short,open_short,109232.43
2025-10-17 00:00:00,ETH,25.7,空,short,open_short,3964.41
2025-10-17 00:00:00,SOL,26.8,空,short,hold,192.27
2025-10-17 04:00:00,BTC,17.0,空,flat,reduce_short,107838.01
2025-10-17 04:00:00,ETH,14.6,空,short,hold,3850.99
2025-10-17 04:00:00,SOL,7.9,空,short,hold,182.83
2025-10-17 08:00:00,BTC,89.4,多,long,open_long,108800.0
2025-10-17 08:00:00,ETH,82.7,多,flat,reduce_short,3927.99
2025-10-17 08:00:00,SOL,36.6,空,flat,reduce_short,186.3
2025-10-17 12:00:00,BTC,22.6,空,flat,reduce_long,108787.26
2025-10-17 12:00:00,ETH,27.7,空,short,open_short,3912.83
2025-10-17 12:00:00,SOL,32.6,空,short,open_short,187.06
2025-10-17 16:00:00,BTC,7.7,空,short,open_short,104884.38
2025-10-17 16:00:00,ETH,7.7,空,short,hold,3708.8
2025-10-17 16:00:00,SOL,9.2,空,short,hold,175.55
