time,symbol,score,signal,close_price
2025-05-01 12:00:00,SOL,50.5,中性,148.52
2025-05-01 16:00:00,BTC,43.8,空,95210.16
2025-05-01 16:00:00,ETH,47.8,中性,1817.83
2025-05-01 16:00:00,SOL,52.5,中性,150.72
2025-05-01 20:00:00,BTC,41.7,空,96373.2
2025-05-01 20:00:00,ETH,48.2,中性,1849.29
2025-05-01 20:00:00,SOL,44.5,空,152.07
2025-05-02 00:00:00,BTC,40.6,空,97007.14
2025-05-02 00:00:00,ETH,40.4,空,1859.7
2025-05-02 00:00:00,SOL,36.6,空,151.66
2025-05-02 04:00:00,BTC,41.0,空,96407.9
2025-05-02 04:00:00,ETH,38.9,空,1839.41
2025-05-02 04:00:00,SOL,39.4,空,150.2
2025-05-02 08:00:00,BTC,36.6,空,97042.97
2025-05-02 08:00:00,ETH,35.6,空,1847.75
2025-05-02 08:00:00,SOL,37.3,空,151.46
2025-05-02 12:00:00,BTC,41.3,空,96939.86
2025-05-02 12:00:00,ETH,40.1,空,1841.49
2025-05-02 12:00:00,SOL,37.8,空,150.18
2025-05-02 16:00:00,BTC,41.1,空,96636.2
2025-05-02 16:00:00,ETH,34.4,空,1823.69
2025-05-02 16:00:00,SOL,34.6,空,149.33
2025-05-02 20:00:00,BTC,44.4,空,97182.53
2025-05-02 20:00:00,ETH,44.5,空,1841.23
2025-05-02 20:00:00,SOL,44.6,空,150.94
2025-05-03 00:00:00,BTC,47.8,中性,97348.69
2025-05-03 00:00:00,ETH,48.9,中性,1852.51
2025-05-03 00:00:00,SOL,43.0,空,150.19
2025-05-03 04:00:00,BTC,43.7,空,97022.31
2025-05-03 04:00:00,ETH,43.5,空,1846.81
2025-05-03 04:00:00,SOL,34.5,空,148.28
2025-05-03 08:00:00,BTC,50.1,中性,96700.45
2025-05-03 08:00:00,ETH,49.5,中性,1838.7
2025-05-03 08:00:00,SOL,47.4,中性,148.1
2025-05-03 12:00:00,BTC,50.5,中性,96519.05
2025-05-03 12:00:00,ETH,51.5,中性,1838.0
2025-05-03 12:00:00,SOL,47.8,中性,148.1
2025-05-03 16:00:00,BTC,50.3,中性,96281.0
2025-05-03 16:00:00,ETH,48.7,中性,1825.3
